Username,Repo_name,Stars,Repo_URL
jwasham,coding-interview-university,213000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,148000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,137000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,132000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,67100,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,56500,https://github.com/kdn251/interviews
azl397985856,leetcode,47000,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,44900,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,36500,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26600,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24900,https://github.com/donnemartin/interactive-coding-challenges
youngyangyang04,leetcode-master,24300,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,23700,https://github.com/halfrost/LeetCode-Go
huihut,interview,23000,https://github.com/huihut/interview
keon,algorithms,20500,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,19000,https://github.com/trekhleb/homemade-machine-learning
TheAlgorithms,Javascript,18500,https://github.com/TheAlgorithms/Javascript
TheAlgorithms,C-Plus-Plus,18500,https://github.com/TheAlgorithms/C-Plus-Plus
mxgmn,WaveFunctionCollapse,17400,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,14600,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13300,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,13000,https://github.com/OpenGenus/cosmos
williamfiset,Algorithms,12200,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,10700,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10500,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9500,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8400,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7500,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7100,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,7100,https://github.com/LeetCode-OpenSource/vscode-leetcode
