Username,Repo_name,Stars,Repo_URL
flutter,flutter,137000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,88000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,62400,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,49800,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45300,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42200,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41800,https://github.com/square/okhttp
android,architecture-samples,40300,https://github.com/android/architecture-samples
Solido,awesome-flutter,39700,https://github.com/Solido/awesome-flutter
square,retrofit,39700,https://github.com/square/retrofit
PhilJay,MPAndroidChart,34800,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34200,https://github.com/fastlane/fastlane
airbnb,lottie-android,32500,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32400,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32299,https://github.com/bumptech/glide
Trinea,android-open-project,30900,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30500,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30300,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30100,https://github.com/bilibili/ijkplayer
skylot,jadx,29400,https://github.com/skylot/jadx
zxing,zxing,29300,https://github.com/zxing/zxing
laurent22,joplin,28600,https://github.com/laurent22/joplin
codepath,android_guides,27700,https://github.com/codepath/android_guides
square,leakcanary,27300,https://github.com/square/leakcanary
alibaba,fastjson,24200,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23300,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22700,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22100,https://github.com/react-native-elements/react-native-elements
google,iosched,21200,https://github.com/google/iosched
NativeScript,NativeScript,21000,https://github.com/NativeScript/NativeScript
