Username,Repo_name,Stars,Repo_URL
jlevy,the-art-of-command-line,104000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,56000,https://github.com/nvm-sh/nvm
junegunn,fzf,42600,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,30600,https://github.com/dylanaraps/pure-bash-bible
google,zx,29600,https://github.com/google/zx
koalaman,shellcheck,28100,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27600,https://github.com/mathiasbynens/dotfiles
LeCoupa,awesome-cheatsheets,27400,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,25700,https://github.com/acmesh-official/acme.sh
starship,starship,23300,https://github.com/starship/starship
alebcay,awesome-shell,23100,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,18100,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14700,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14500,https://github.com/dylanaraps/neofetch
rbenv,rbenv,14000,https://github.com/rbenv/rbenv
powerline,powerline,13200,https://github.com/powerline/powerline
shelljs,shelljs,13100,https://github.com/shelljs/shelljs
Bash-it,bash-it,12800,https://github.com/Bash-it/bash-it
withfig,autocomplete,12600,https://github.com/withfig/autocomplete
faressoft,terminalizer,12400,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12400,https://github.com/jessfraz/dockerfiles
denisidoro,navi,10400,https://github.com/denisidoro/navi
codota,TabNine,9000,https://github.com/codota/TabNine
rgcr,m-cli,8800,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8600,https://github.com/alexanderepstein/Bash-Snippets
direnv,direnv,8500,https://github.com/direnv/direnv
kanaka,mal,8500,https://github.com/kanaka/mal
skywind3000,awesome-cheatsheets,8200,https://github.com/skywind3000/awesome-cheatsheets
carlospolop,PEASS-ng,8100,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7600,https://github.com/angristan/openvpn-install
