Username,Repo_name,Stars,Repo_URL
ccxt,ccxt,23600,https://github.com/ccxt/ccxt
discordjs,discord.js,18300,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,17900,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16100,https://github.com/hubotio/hubot
InstaPy,InstaPy,14000,https://github.com/InstaPy/InstaPy
RasaHQ,rasa,13700,https://github.com/RasaHQ/rasa
wechaty,wechaty,12300,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12100,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10700,https://github.com/howdyai/botkit
botpress,botpress,9600,https://github.com/botpress/botpress
tgbot-collection,YYeTsBot,8800,https://github.com/tgbot-collection/YYeTsBot
sfyc23,EverydayWechat,8800,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,8600,https://github.com/leon-ai/leon
microsoft,ailab,7000,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6700,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6100,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,6000,https://github.com/yagop/node-telegram-bot-api
deepmipt,DeepPavlov,5600,https://github.com/deepmipt/DeepPavlov
botman,botman,5600,https://github.com/botman/botman
telegraf,telegraf,5400,https://github.com/telegraf/telegraf
pedroslopez,whatsapp-web.js,5200,https://github.com/pedroslopez/whatsapp-web.js
axa-group,nlp.js,4800,https://github.com/axa-group/nlp.js
jef,streetmerchant,4800,https://github.com/jef/streetmerchant
Mrs4s,go-cqhttp,4200,https://github.com/Mrs4s/go-cqhttp
ohld,igbot,4100,https://github.com/ohld/igbot
Yoctol,bottender,3900,https://github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot
chrisleekr,binance-trading-bot,3700,https://github.com/chrisleekr/binance-trading-bot
orkestral,venom,3700,https://github.com/orkestral/venom
