Username,Repo_name,Stars,Repo_URL
CyC2018,CS-Notes,148000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,64099,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,47000,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38200,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,36200,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,24300,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,23900,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,23500,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,23000,https://github.com/huihut/interview
yuzu-emu,yuzu,19400,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,18500,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,16800,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,15300,https://github.com/ethereum/solidity
microsoft,vcpkg,15100,https://github.com/microsoft/vcpkg
catchorg,Catch2,14600,https://github.com/catchorg/Catch2
gabime,spdlog,14000,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13700,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,13300,https://github.com/Qv2ray/Qv2ray
doocs,leetcode,13100,https://github.com/doocs/leetcode
facebook,infer,13100,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12500,https://github.com/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,12200,https://github.com/ssloy/tinyrenderer
google,tink,12200,https://github.com/google/tink
antlr,antlr4,11700,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,11100,https://github.com/kyleneideck/BackgroundMusic
SFTtech,openage,10900,https://github.com/SFTtech/openage
compiler-explorer,compiler-explorer,10300,https://github.com/compiler-explorer/compiler-explorer
OpenRCT2,OpenRCT2,10300,https://github.com/OpenRCT2/OpenRCT2
Ciphey,Ciphey,9500,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9300,https://github.com/hmemcpy/milewski-ctfp-pdf
