Username,Repo_name,Stars,Repo_URL
Genymobile,scrcpy,62400,https://github.com/Genymobile/scrcpy
neovim,neovim,51500,https://github.com/neovim/neovim
git,git,41300,https://github.com/git/git
obsproject,obs-studio,36800,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,36200,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,29700,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,28600,https://github.com/FFmpeg/FFmpeg
vim,vim,26400,https://github.com/vim/vim
curl,curl,23900,https://github.com/curl/curl
ggreer,the_silver_searcher,23400,https://github.com/ggreer/the_silver_searcher
huihut,interview,23000,https://github.com/huihut/interview
ruby,ruby,18900,https://github.com/ruby/ruby
mpv-player,mpv,18000,https://github.com/mpv-player/mpv
pbatard,rufus,17700,https://github.com/pbatard/rufus
google,flatbuffers,17600,https://github.com/google/flatbuffers
ossrs,srs,17400,https://github.com/ossrs/srs
oracle,graal,16700,https://github.com/oracle/graal
radareorg,radare2,15900,https://github.com/radareorg/radare2
microsoft,vcpkg,15100,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14800,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14400,https://github.com/allinurl/goaccess
kovidgoyal,kitty,14000,https://github.com/kovidgoyal/kitty
jarun,nnn,13600,https://github.com/jarun/nnn
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13100,https://github.com/facebook/infer
TheAlgorithms,C,12600,https://github.com/TheAlgorithms/C
CoatiSoftware,Sourcetrail,12500,https://github.com/CoatiSoftware/Sourcetrail
hashcat,hashcat,11900,https://github.com/hashcat/hashcat
qmk,qmk_firmware,11800,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11300,https://github.com/s-matyukevich/raspberry-pi-os
