Username,Repo_name,Stars,Repo_URL
ohmyzsh,ohmyzsh,142000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,42600,https://github.com/junegunn/fzf
sharkdp,bat,32900,https://github.com/sharkdp/bat
wagoodman,dive,30400,https://github.com/wagoodman/dive
sherlock-project,sherlock,29900,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,29800,https://github.com/BurntSushi/ripgrep
google,zx,29600,https://github.com/google/zx
chubin,cheat.sh,28400,https://github.com/chubin/cheat.sh
cli,cli,27500,https://github.com/cli/cli
jesseduffield,lazygit,26200,https://github.com/jesseduffield/lazygit
spf13,cobra,25600,https://github.com/spf13/cobra
angular,angular-cli,25300,https://github.com/angular/angular-cli
alebcay,awesome-shell,23100,https://github.com/alebcay/awesome-shell
google,python-fire,22000,https://github.com/google/python-fire
tqdm,tqdm,21400,https://github.com/tqdm/tqdm
n8n-io,n8n,21400,https://github.com/n8n-io/n8n
sharkdp,fd,20900,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,20900,https://github.com/ibraheemdev/modern-unix
vercel,pkg,19900,https://github.com/vercel/pkg
avajs,ava,19700,https://github.com/avajs/ava
chalk,chalk,18200,https://github.com/chalk/chalk
vadimdemedes,ink,18000,https://github.com/vadimdemedes/ink
urfave,cli,17500,https://github.com/urfave/cli
svg,svgo,17400,https://github.com/svg/svgo
gpakosz,.tmux,16100,https://github.com/gpakosz/.tmux
allinurl,goaccess,14400,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
jarun,nnn,13600,https://github.com/jarun/nnn
infinitered,ignite,13600,https://github.com/infinitered/ignite
asdf-vm,asdf,13400,https://github.com/asdf-vm/asdf
